    yearn,yearn|yearns,
    worship,worship|worships,
    walk,walk|walks,
    take,take|takes,
    surrender,surrender|surrenders,
    seek,seek|seeks,
    relinquish,relinquish|relinquishes,
    pledge,pledge|pledges,
    plead,plead|pleads,
    offer,offer|offers,
    need,need|needs,
    kneel,kneel|kneels,
    inhale,inhale|inhales,
    implore,implore|implores,
    honor,honor|honors,
    go,go|goes,
    find,find|finds,
    experience,experience|experiences,
    exist,exist|exists,
    embrace,embrace|embraces,
    dream,dream|dreams,
    draw,draw|draws,
    discover,discover|discovers,
    deepen,deepen|deepens,
    crave,crave|craves,
    cherish,cherish|cherishes,
    beseech,beseech|beseeches,
    beg,beg|begs,
    am,am|are|are|is
